Date : 2026-02-12 09:05:09
Directory : /Users/diniden/Desktop/self/pixel-art
Total : 115 files,  33021 codes, 2157 comments, 4452 blanks, all 39630 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         38 |     13,546 |        850 |      1,624 |     16,020 |
| TypeScript         |         33 |     11,384 |      1,204 |      1,444 |     14,032 |
| CSS                |         32 |      7,880 |        103 |      1,313 |      9,296 |
| JSON with Comments |          3 |        107 |          0 |         62 |        169 |
| JSON               |          7 |         75 |          0 |          5 |         80 |
| HTML               |          2 |         29 |          0 |          4 |         33 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        115 |     33,021 |      2,157 |      4,452 |     39,630 |
| . (Files)                                                                                                       |          2 |         89 |          0 |         59 |        148 |
| client                                                                                                          |        104 |     31,639 |      1,988 |      4,172 |     37,799 |
| client (Files)                                                                                                  |          5 |         86 |          0 |          9 |         95 |
| client/lib                                                                                                      |          2 |        580 |        146 |         92 |        818 |
| client/lib (Files)                                                                                              |          1 |        345 |        129 |         65 |        539 |
| client/lib/versions                                                                                             |          1 |        235 |         17 |         27 |        279 |
| client/public                                                                                                   |          1 |         13 |          0 |          2 |         15 |
| client/src                                                                                                      |         96 |     30,960 |      1,842 |      4,069 |     36,871 |
| client/src (Files)                                                                                              |          4 |        595 |         29 |        107 |        731 |
| client/src/components                                                                                           |         67 |     21,264 |        965 |      2,903 |     25,132 |
| client/src/components/AddVariantModal                                                                           |          2 |        596 |         12 |         85 |        693 |
| client/src/components/AnchorGrid                                                                                |          2 |        269 |         31 |         45 |        345 |
| client/src/components/Canvas                                                                                    |          6 |      4,409 |        298 |        530 |      5,237 |
| client/src/components/ColorPicker                                                                               |          2 |        820 |         61 |        104 |        985 |
| client/src/components/CopyFromModal                                                                             |          2 |        356 |          7 |         61 |        424 |
| client/src/components/EdgeInterpolateModal                                                                      |          2 |        344 |          0 |         47 |        391 |
| client/src/components/ExportPreviewModal                                                                        |          2 |        827 |         39 |        122 |        988 |
| client/src/components/FrameReferencePanel                                                                       |          2 |        664 |         43 |        106 |        813 |
| client/src/components/FrameTagsModal                                                                            |          2 |        431 |          1 |         49 |        481 |
| client/src/components/FrameTimeline                                                                             |          5 |      2,879 |        169 |        363 |      3,411 |
| client/src/components/Header                                                                                    |          2 |        428 |          2 |         65 |        495 |
| client/src/components/HeightMapModal                                                                            |          2 |        459 |         17 |         73 |        549 |
| client/src/components/LayerColors                                                                               |          2 |        426 |         15 |         48 |        489 |
| client/src/components/LayerPanel                                                                                |          2 |        841 |         23 |        105 |        969 |
| client/src/components/LightingStudioPanel                                                                       |          6 |        750 |         39 |        137 |        926 |
| client/src/components/ObjectLibrary                                                                             |          2 |        973 |         22 |        117 |      1,112 |
| client/src/components/ObjectSelectModal                                                                         |          2 |        345 |          6 |         61 |        412 |
| client/src/components/PaletteManager                                                                            |          2 |        321 |          0 |         43 |        364 |
